name,link_target,rank,elev,prom,subprominence
Siguang Ri,Siguang Ri,82,7309.0,669.0,False
The Crown,The Crown (mountain),83,7295.0,1919.0,False
Gyala Peri,Gyala Peri,84,7294.0,2942.0,False
Porong Ri,Porong Ri,85,7292.0,512.0,False
Baintha Brakk,Baintha Brakk,86,7285.0,1891.0,False
Yutmaru Sar,Yutmaru Sar,87,7283.0,680.0,False
K6,K6 (mountain),88,7282.0,1962.0,False
Kangpenqing,Kangpenqing,89,7281.0,1345.0,False
Muztagh Tower,Muztagh Tower,90,7276.0,1710.0,False
Mana Peak,Mana Peak,91,7272.0,732.0,False
Diran,Diran,92,7266.0,1329.0,False
Labuche Kang III,Labuche Kang III/East,93,7250.0,570.0,False
Putha Hiunchuli,Putha Hiunchuli,94,7246.0,1151.0,False
Apsarasas Kangri,Apsarasas Kangri,95,7245.0,607.0,False
Mukut Parbat,Mukut Parbat,96,7242.0,683.0,False
Rimo III,Rimo I,97,7233.0,613.0,False
Langtang Lirung,Langtang Lirung,98,7227.0,1534.0,False
Karjiang,Karjiang,99,7221.0,895.0,False
Annapurna Dakshin (Annapurna South),Annapurna South,100,7219.0,769.0,False
Khartaphu,Khartaphu,101,7213.0,712.0,False
Tongshanjiabu,Tongshanjiabu,102,7207.0,1757.0,False
Malangutti Sar,Malangutti Sar,103,7207.0,507.0,False
Noijin Kangsang,Noijin Kangsang,104,7206.0,2160.0,False
Langtang Ri,Langtang Ri,105,7205.0,665.0,False
Kangphu Kang,Kangphu Kang,106,7204.0,1244.0,False
Singhi Kangri,Singhi Kangri,107,7202.0,730.0,False
Lupghar Sar,Lupghar Sar,108,7200.0,730.0,False
Gasherbrum III,Gasherbrum III,S,7946.0,355.0,True
Nuptse,Nuptse,S,7864.0,305.0,True
Molamenqing,Molamenqing,S,7703.0,433.0,True
Dhaulagiri IV,Dhaulagiri,S,7661.0,469.0,True
Dhaulagiri V,Dhaulagiri,S,7618.0,340.0,True
Annapurna IV,Annapurna IV,S,7525.0,255.0,True
Sunanda Devi,Sunanda Devi,S,7434.0,229.0,True
Abi Gamin,Abi Gamin,S,7355.0,217.0,True
Gimmigela Chuli,Gimmigela Chuli,S,7350.0,432.0,True
Nangpai Gosum,Nangpai Gosum,S,7350.0,427.0,True
Talung,Talung,S,7349.0,366.0,True
Dhaulagiri VI,Dhaulagiri,S,7268.0,488.0,True
