name,link_target,region,rng,elev,prom,col,lat,lon,sources
Ojos del Salado,Ojos del Salado,&nbsp;/&nbsp;,Andes,6893.0,3688.0,3205.0,-27.109722222,-68.541388888,list-of-ultras-of-south-america
Semeru,Semeru,Java,Java,3676.0,3676.0,0.0,-8.1,112.916666666,list-of-ultras-of-the-malay-archipelago
Ritacuba Blanco,Ritacuba Blanco,,Cordillera Oriental,5410.0,3645.0,1765.0,6.494166666,-72.2975,list-of-ultras-of-south-america
Gongga Shan,Gongga Shan,,,7556.0,3642.0,3914.0,,,list-of-ultras-of-tibet-east-asia-and-neighbouring-areas
Mount Ararat,Mount Ararat,,Armenian Highlands,5137.0,3611.0,1526.0,39.701944444,44.298333333,list-of-ultras-of-west-asia
Kongur Tagh,Kongur Tagh,,Kongur Shan,7649.0,3585.0,4064.0,38.593888888,75.313333333,list-of-ultras-of-central-asia
Mount Blackburn,,Alaska,Wrangell Mountains,4995.682,3547.879,,61.7305,-143.4031,list-of-ultras-of-north-america
Mount Hayes,,Alaska,Alaska Range,4216.002,3507.341,,63.6203,-146.7178,list-of-ultras-of-north-america
Mount Rantemario,Mount Rantemario,Sulawesi,,3478.0,3478.0,0.0,,,list-of-ultras-of-the-malay-archipelago
Mount Saint Elias,,Alaska,Saint Elias Mountains,5489.0,3429.0,,60.2927,-140.9307,list-of-ultras-of-north-america
Ismoil Somoni Peak,Ismoil Somoni Peak,,Pamir Mountains,7495.0,3402.0,4093.0,38.942732,72.015347,list-of-ultras-of-central-asia
Dhaulagiri,Dhaulagiri,,Himalayas,8167.0,3357.0,4810.0,28.696666666,83.49,list-of-ultras-of-the-himalayas
Mount Etna,Mount Etna,Sicily,Sicily,3357.0,3357.0,0.0,,,list-of-european-ultra-prominent-peaks
Belukha Mountain,Belukha Mountain,&nbsp;/&nbsp;,Altai Mountains,4506.0,3343.0,1163.0,51.266666666,116.833333333,list-of-ultras-of-central-asia
Mercedario,Mercedario,,Cordillera de la Ramada,6700.0,3333.0,3367.0,-31.978888888,-70.112777777,list-of-ultras-of-south-america
Jabal An-Nabi Shu'ayb,Jabal An-Nabi Shu'ayb,,Arabian Highlands,3666.0,3326.0,340.0,15.279166666,43.975833333,list-of-ultras-of-west-asia
Monte San Lorenzo,Monte San Lorenzo,&nbsp;/&nbsp;,Andes,3706.0,3319.0,387.0,-47.591666666,-72.306666666,list-of-ultras-of-south-america
Mount Karisimbi,Mount Karisimbi,&nbsp;/&nbsp;,Virunga Mountains,4507.0,3312.0,1195.0,-1.5,29.45,list-of-ultras-of-africa
Lautaro,Lautaro (volcano),,Andes,3580.0,3302.0,278.0,,,list-of-ultras-of-south-america
Mount Waddington,,British Columbia,Coast Mountains,4019.0,3289.0,,51.3737,-125.2636,list-of-ultras-of-north-america
Mulhacén,Mulhacén,,Sierra Nevada,3479.0,3285.0,194.0,37.053333333,-3.311388888,list-of-european-ultra-prominent-peaks
Mount Slamet,Mount Slamet,Java,Java,3428.0,3284.0,144.0,-7.239,109.22,list-of-ultras-of-the-malay-archipelago
Sabalan,Sabalan,,Lesser Caucasus,4811.0,3283.0,1528.0,38.266944444,47.836944444,list-of-ultras-of-west-asia
Mount Marcus Baker,,Alaska,Chugach Mountains,4016.053,3276.911,,61.4374,-147.7525,list-of-ultras-of-north-america
Cerro del Bolsón,Cerro del Bolsón,,Andes,5552.0,3252.0,2300.0,-27.214166666,-66.094166666,list-of-ultras-of-south-america
Sauyr Zhotasy,Sauyr Zhotasy,&nbsp;/&nbsp;,Saur Mountains,3840.0,3252.0,588.0,47.049166666,85.566666666,list-of-ultras-of-central-asia
Tomort,Tomort,,Tian Shan,4886.0,3243.0,1643.0,43.073333333,94.346666666,list-of-ultras-of-central-asia
Jade Dragon Snow Mountain,Jade Dragon Snow Mountain,,Yun Range,5596.0,3202.0,2394.0,27.098333333,100.175,list-of-ultras-of-tibet-east-asia-and-neighbouring-areas
Mount Meru,Mount Meru (Tanzania),,Eastern Rift mountains,4565.0,3170.0,1395.0,-3.246780555,36.76025,list-of-ultras-of-africa
Shiveluch,Shiveluch,,Kamchatka,3307.0,3168.0,139.0,56.653633333,161.362966666,list-of-ultras-of-northeast-asia
Nanda Devi,Nanda Devi,,Himalayas,7816.0,3139.0,4677.0,30.373888888,79.970833333,list-of-ultras-of-the-himalayas
Ichinsky,Ichinsky,,Sredinny Range,3607.0,3125.0,482.0,55.6786,157.718,list-of-ultras-of-northeast-asia
Batura Sar,Batura Sar,",",Karakoram,7795.0,3118.0,4677.0,36.51,74.5225,list-of-ultras-of-the-karakoram-and-hindu-kush
Mount Lawu,Mount Lawu,Java,Java,3265.0,3118.0,147.0,,,list-of-ultras-of-the-malay-archipelago
Mount Siple,Mount Siple,Siple Island,Siple Island,3110.0,3110.0,0.0,-73.433333333,-126.666666666,list-of-ultras-of-antarctica
Pico Duarte,,,Island of Hispaniola,3098.0,3098.0,,19.0231,-70.9977,list-of-ultras-of-north-america
Manaslu,Manaslu,,Himalayas,8163.0,3092.0,5071.0,28.55,84.559722222,list-of-ultras-of-the-himalayas
Mount Lucania,,Yukon,Saint Elias Mountains,5260.0,3080.0,,61.0215,-140.4661,list-of-ultras-of-north-america
Mount Whitney,,California,Sierra Nevada,4421.0,3072.39,,36.5786,-118.292,list-of-ultras-of-north-america
Piton des Neiges,Piton des Neiges,Réunion,Réunion,3069.0,3069.0,0.0,-21.098888888,55.478888888,list-of-ultras-of-africa
Raung,Raung,Java,Java,3332.0,3069.0,263.0,-8.125,114.041666666,list-of-ultras-of-the-malay-archipelago
Snow Lotus Peak,Xuelian Feng,,Tian Shan,6627.0,3068.0,3559.0,42.261666666,80.89,list-of-ultras-of-central-asia
Haleakalā,,,,3055.017,3055.017,20.7097,20.7097,-156.2533,list-of-ultras-of-oceania
Popocatépetl,,Morelos,Cordillera Neovolcanica,5410.0,3040.0,,19.0225,-98.6278,list-of-ultras-of-north-america
Mount Agung,Mount Agung,Bali,Bali,3031.0,3031.0,0.0,-8.341944444,115.507777777,list-of-ultras-of-the-malay-archipelago
Mount Binaiya,Mount Binaiya,Seram,Seram,3027.0,3027.0,0.0,-3.173333333,129.455,list-of-ultras-of-the-malay-archipelago
Pico Basilé,Pico Basilé,Bioko,Bioko,3011.0,3011.0,0.0,3.583333333,8.766666666,list-of-ultras-of-africa
Koryaksky,Koryaksky,,Sredinny Range,3456.0,2999.0,457.0,53.316666666,158.683333333,list-of-ultras-of-northeast-asia
Gangkhar Puensum,Gangkhar Puensum,&nbsp;/&nbsp;,Himalayas,7570.0,2995.0,4575.0,28.046944444,90.455,list-of-ultras-of-the-himalayas
Mount Stephenson,Mount Stephenson,Alexander Island,Douglas Range,2987.0,2987.0,0.0,-69.816666666,-69.716666666,list-of-ultras-of-antarctica
Tatamailau,Tatamailau,,,2986.0,2986.0,0.0,,,list-of-ultras-of-the-malay-archipelago
Annapurna I,Annapurna I,,,8091.0,2984.0,5107.0,,,list-of-ultras-of-the-himalayas
Pik Talgar,Pik Talgar,,Trans-Ili Alatau,4979.0,2982.0,1997.0,43.11833333,77.34083333,list-of-ultras-of-central-asia
Mount Shasta,,California,Cascade Range,4321.8,2978.512,,41.4092,-122.1949,list-of-ultras-of-north-america
Mount Suckling,Mount Suckling,,Owen Stanley Range,3676.0,2976.0,700.0,-9.669166666,149.010833333,list-of-ultras-of-oceania
Mount Wilhelm,Mount Wilhelm,,Bismarck Range,4509.0,2969.0,1540.0,-5.7799986,145.0295844,list-of-ultras-of-oceania
Mount Apo,Mount Apo,Mindanao,Apo–Talomo,2956.0,2956.0,0.0,6.9875,125.270833333,list-of-ultras-of-the-philippines
Gyala Peri,Gyala Peri,,Nyenchen Tanglha Mountains,7294.0,2942.0,4352.0,29.814166666,94.968333333,list-of-ultras-of-tibet-east-asia-and-neighbouring-areas
Chakragil,Chakragil,,Kunlun Mountains,6760.0,2934.0,3826.0,38.865833333,75.108333333,list-of-ultras-of-central-asia
Emi Koussi,Emi Koussi,,Tibesti Mountains,3445.0,2934.0,511.0,19.789444444,18.551111111,list-of-ultras-of-africa
Mount Paget,Mount Paget,,Allardyce Range,2934.0,2934.0,0.0,-54.440833333,-36.555277777,list-of-ultras-of-antarctica
Mount Pulag,Mount Pulag,Luzon,Cordillera Central,2928.0,2928.0,0.0,16.583572222,120.883591666,list-of-ultras-of-the-philippines
Monarch Mountain (British Columbia),,British Columbia,Coast Mountains,3555.0,2925.0,,51.8995,-125.876,list-of-ultras-of-north-america
El Melao,El Melao,,Sierras Pampeanas,4150.0,2907.0,1243.0,-28.8675,-67.1275,list-of-ultras-of-south-america
Taftan Volcano,Taftan Volcano,,Eastern Iran,3941.0,2901.0,1040.0,,,list-of-ultras-of-west-asia
Jebel Shams,Jebel Shams,,Al Hajar Mountains,3019.0,2899.0,120.0,,,list-of-ultras-of-west-asia
Shishapangma,Shishapangma,,Himalayas,8027.0,2897.0,5130.0,28.352222222,85.779722222,list-of-ultras-of-the-himalayas
Mount Leuser,Mount Leuser,Sumatra,Sumatra,3466.0,2891.0,525.0,3.7975,97.219166666,list-of-ultras-of-the-malay-archipelago
Pico da Neblina,Pico da Neblina,,Cerro de la Neblina,2994.0,2886.0,108.0,0.805494444,-66.005358333,list-of-ultras-of-south-america
Saramati,Mount Saramati,&nbsp;/&nbsp;,Patkai,3826.0,2885.0,941.0,25.74,95.0375,list-of-ultras-of-southeast-asia
Maromokotro,Maromokotro,,Madagascar,2876.0,2876.0,0.0,-14.022777777,48.965833333,list-of-ultras-of-africa
Mount Shishaldin,,Alaska,Unimak Island,2869.393,2869.393,,54.7554,-163.9709,list-of-ultras-of-north-america
Moncong Lompobatang,Moncong Lompobatang,Sulawesi,,2874.0,2857.0,17.0,,,list-of-ultras-of-the-malay-archipelago
Buni Zom,Buni Zom,,Hindu Raj,6542.0,2845.0,3697.0,36.154166666,72.3275,list-of-ultras-of-the-karakoram-and-hindu-kush
Kuh-e Bandaka,Kuh-e Bandaka,,Hindu Kush,6812.0,2834.0,3978.0,36.179166666,70.983333333,list-of-ultras-of-the-karakoram-and-hindu-kush
Mount Fogo,Mount Fogo,Fogo,,2829.0,2829.0,0.0,,,list-of-ultras-of-africa
Mount Robson,,British Columbia,Canadian Rockies,3959.0,2829.0,,53.1105,-119.1566,list-of-ultras-of-north-america
Kamet,Kamet,,Himalayas,7756.0,2825.0,4931.0,30.92,79.593333333,list-of-ultras-of-the-himalayas
Rakaposhi,Rakaposhi,",",Karakoram,7788.0,2818.0,4970.0,36.1425,74.489166666,list-of-ultras-of-the-karakoram-and-hindu-kush
Aneto,Aneto,,Pyrenees,3404.0,2812.0,592.0,42.630991666,0.656686111,list-of-european-ultra-prominent-peaks
Arjuno-Welirang,Arjuno-Welirang,Java,Java,3339.0,2812.0,527.0,-7.765,112.589722222,list-of-ultras-of-the-malay-archipelago
Jiuding Shan,Jiuding Shan,,Daxue Mountains,4969.0,2808.0,2161.0,31.54333333,103.85333333,list-of-ultras-of-tibet-east-asia-and-neighbouring-areas
Mount Ruapehu,Mount Ruapehu,,,2797.0,2797.0,0.0,,,list-of-ultras-of-oceania
Mount Ciremai,Mount Ciremai,Java,,3078.0,2793.0,285.0,,,list-of-ultras-of-the-malay-archipelago
Ibn Sina Peak,Ibn Sina Peak,&nbsp;/&nbsp;,,7134.0,2790.0,4344.0,,,list-of-ultras-of-central-asia
Mount Redoubt,,Alaska,Chigmit Mountains,3108.052,2788.011,,60.4854,-152.7442,list-of-ultras-of-north-america
Gurla Mandhata,Gurla Mandhata,,,7694.0,2788.0,4906.0,,,list-of-ultras-of-the-himalayas
Huascarán,Huascarán,,,6768.0,2776.0,3970.0,,,list-of-ultras-of-south-america
Mount Arfak,Mount Arfak,New Guinea,,2955.0,2775.0,179.0,,,list-of-ultras-of-the-malay-archipelago
Pegunungan Arfak,Pegunungan Arfak,,,2955.0,2775.0,179.0,,,list-of-ultras-of-oceania
Mount Elbert,,Colorado,Sawatch Range,4401.2,2771.552,,39.1178,-106.4454,list-of-ultras-of-north-america
Nevado de Famatina,Nevado de Famatina,,,6097.0,2767.0,3330.0,,,list-of-ultras-of-south-america
Tupungato,Tupungato,&nbsp;/&nbsp;,,6570.0,2765.0,3805.0,,,list-of-ultras-of-south-america
Mount Français,Mount Français,Anvers Island,,2760.0,2760.0,0.0,,,list-of-ultras-of-antarctica
Puncak Mandala,Puncak Mandala,New Guinea,,4760.0,2760.0,2000.0,,,list-of-ultras-of-oceania;list-of-ultras-of-the-malay-archipelago
Iyang-Argapura,Iyang-Argapura,Java,,3088.0,2746.0,342.0,,,list-of-ultras-of-the-malay-archipelago
Big Ben,Big Ben (Heard Island),,,2745.0,2745.0,0.0,,,list-of-ultras-of-oceania
Hazaran,Hazaran,,Hazaran,4500.0,2741.0,1759.0,,,list-of-ultras-of-west-asia
Mount Victoria,"Mount Victoria, Papua New Guinea",,,4038.0,2738.0,1300.0,,,list-of-ultras-of-oceania
Kronotsky,Kronotsky,,,3527.0,2736.0,791.0,,,list-of-ultras-of-northeast-asia
Mount Sir Wilfrid Laurier,,British Columbia,Columbia Mountains,3516.0,2728.0,,52.8015,-119.7315,list-of-ultras-of-north-america
Mount Tambora,Mount Tambora,Sumbawa,,2722.0,2722.0,0.0,,,list-of-ultras-of-the-malay-archipelago
Nevado de Colima,,Jalisco,Cordillera Neovolcanica,4270.0,2720.0,,19.5633,-103.6087,list-of-ultras-of-north-america
Mount Balbi,Mount Balbi,,,2715.0,2715.0,0.0,,,list-of-ultras-of-oceania
Cerro el Manchao,Cerro el Manchao,,,4575.0,2714.0,1861.0,,,list-of-ultras-of-south-america
Fuyul Sojol,Fuyul Sojol,Sulawesi,,3030.0,2713.0,317.0,,,list-of-ultras-of-the-malay-archipelago
Mount Vancouver,,Yukon,Saint Elias Mountains,4812.0,2712.0,,60.3589,-139.698,list-of-ultras-of-north-america
Monte Cinto,Monte Cinto,Corsica,,2706.0,2706.0,0.0,,,list-of-european-ultra-prominent-peaks
Mount Sir Sandford,,British Columbia,Columbia Mountains,3519.0,2703.0,,51.6566,-117.8676,list-of-ultras-of-north-america
Mount Kapalatmada,Mount Kapalatmada,Buru,,2700.0,2700.0,0.0,,,list-of-ultras-of-the-malay-archipelago
Muztagh Ata,Muztagh Ata,,,7509.0,2698.0,4811.0,,,list-of-ultras-of-central-asia
Mount Baker,,Washington,Skagit Range,3287.485,2696.0,,48.7768,-121.8145,list-of-ultras-of-north-america
Karl Marx Peak,Karl Marx Peak,,,6723.0,2693.0,4030.0,,,list-of-ultras-of-central-asia
Pik Dankova,Pik Dankova,,,5982.0,2675.0,3307.0,,,list-of-ultras-of-central-asia
Nevado del Huila,Nevado del Huila,,,5390.0,2650.0,2740.0,,,list-of-ultras-of-south-america
Mount Torbert,,Alaska,Alaska Range,3478.689,2648.108,,61.4086,-152.4125,list-of-ultras-of-north-america
Pic la Selle,,,Island of Hispaniola,2674.0,2644.0,,18.3602,-71.9767,list-of-ultras-of-north-america
Tronador,Tronador,&nbsp;/&nbsp;,,3470.0,2642.0,828.0,,,list-of-ultras-of-south-america
Pico da Bandeira,Pico da Bandeira,,,2890.0,2640.0,250.0,,,list-of-ultras-of-south-america
Lanín,Lanín,&nbsp;/&nbsp;,,3740.0,2624.0,1116.0,,,list-of-ultras-of-south-america
Barbeau Peak,,Nunavut,Ellesmere Island,2616.0,2616.0,,81.9148,-75.0093,list-of-ultras-of-north-america
Heyuan Feng,Heyuan Feng,,,5289.0,2616.0,2673.0,,,list-of-ultras-of-central-asia
Mount Halcon,Mount Halcon,Mindoro,,2616.0,2616.0,0.0,,,list-of-ultras-of-the-philippines
Mount Minto,Mount Minto (Antarctica),,,4165.0,2616.0,1549.0,,,list-of-ultras-of-antarctica
Dena,Dena,,Zagros Mountains,4409.0,2604.0,1805.0,,,list-of-ultras-of-west-asia
Mount Kirkpatrick,Mount Kirkpatrick,,,4528.0,2601.0,1927.0,,,list-of-ultras-of-antarctica
Baekdu Mountain,Baekdu Mountain,&nbsp;/&nbsp;,,2744.0,2593.0,151.0,,,list-of-ultras-of-northeast-asia
Mount Darwin,Mount Darwin (Andes),Tierra del Fuego,,2580.0,2580.0,0.0,,,list-of-ultras-of-south-america
Mount Tagubud,Mount Tagubud,Mindanao,,2670.0,2580.0,90.0,,,list-of-ultras-of-the-philippines
Mount Sumbing,Mount Sumbing,Java,,3371.0,2577.0,743.0,,,list-of-ultras-of-the-malay-archipelago
Tamana,Cerro Tamana,,,4100.0,2573.0,1527.0,,,list-of-ultras-of-south-america
Yaomei Feng,Yaomei Feng,,,6250.0,2571.0,3679.0,,,list-of-ultras-of-tibet-east-asia-and-neighbouring-areas
Koyo Zom,Koyo Zom,,,6872.0,2562.0,4310.0,,,list-of-ultras-of-the-karakoram-and-hindu-kush
San Jacinto Peak,,California,San Jacinto Mountains,3302.3,2541.732,,33.8147,-116.6794,list-of-ultras-of-north-america
Salcantay,Salcantay,,,6271.0,2540.0,3724.0,,,list-of-ultras-of-south-america
Mount Oiautukekea,Mount Vineuo,,,2536.0,2536.0,0.0,,,list-of-ultras-of-oceania
San Gorgonio Mountain,,California,San Bernardino Mountains,3506.205,2528.016,,34.0992,-116.8249,list-of-ultras-of-north-america
Altun Shan,Altun Shan,,,5830.0,2528.0,3302.0,,,list-of-ultras-of-tibet-east-asia-and-neighbouring-areas
Tullu Dimtu,Mount Tullu Dimtu,,,4400.0,2527.0,1873.0,,,list-of-ultras-of-africa
Distaghil Sar,Distaghil Sar,",",,7885.0,2525.0,5360.0,,,list-of-ultras-of-the-karakoram-and-hindu-kush
Pidurutalagala,Pidurutalagala,,,2524.0,2524.0,0.0,,,list-of-ultras-of-tibet-east-asia-and-neighbouring-areas
Mount Parry,Mount Parry,Brabant Island,,2520.0,2520.0,0.0,,,list-of-ultras-of-antarctica
Mount Charleston,,Nevada,Spring Mountains,3632.0,2517.0,,36.2716,-115.6956,list-of-ultras-of-north-america
Mount Sidley,Mount Sidley,,,4285.0,2517.0,1768.0,,,list-of-ultras-of-antarctica
Deriba Caldera,Deriba Caldera,,,3042.0,2512.0,530.0,,,list-of-ultras-of-africa
Mount Giluwe,Mount Giluwe,,,4367.0,2507.0,1860.0,,,list-of-ultras-of-oceania
Mount Pavlof,,Alaska,Alaska Peninsula,2514.605,2499.365,,55.4173,-161.8932,list-of-ultras-of-north-america
Mount Veniaminof,,Alaska,Alaska Peninsula,2506.985,2499.365,,56.2194,-159.2975,list-of-ultras-of-north-america
Mount Oku,Mount Oku,,,3011.0,2491.0,520.0,,,list-of-ultras-of-africa
Uludoruk (Resko Tepe),,,Zagros Mountains,4136.0,2483.0,1653.0,,,list-of-ultras-of-west-asia
Gora Alagordy,Gora Alagordy,&nbsp;/&nbsp;,,4622.0,2480.0,2142.0,,,list-of-ultras-of-central-asia
Mount Adams (Washington),,Washington,Cascade Range,3743.4,2479.858,,46.2024,-121.4909,list-of-ultras-of-north-america
Anamudi,Anamudi,,,2695.0,2479.0,215.0,,,list-of-ultras-of-tibet-east-asia-and-neighbouring-areas
Corno Grande,Corno Grande,,,2912.0,2476.0,436.0,,,list-of-european-ultra-prominent-peaks
Musala,Musala,,,2925.0,2473.0,432.0,,,list-of-european-ultra-prominent-peaks
Mount Aspiring / Tititea,Mount Aspiring / Tititea,,,3033.0,2471.0,562.0,,,list-of-ultras-of-oceania
Jiaozi Snow Mountain,Jiaozi Snow Mountain,,,4330.0,2470.0,1860.0,,,list-of-ultras-of-tibet-east-asia-and-neighbouring-areas
Kuh-e Safad Khers,Kuh-e Safad Khers,,,5325.0,2470.0,2855.0,,,list-of-ultras-of-the-karakoram-and-hindu-kush
Mogote Corralitos,Mogote Corralitos,,,3160.0,2466.0,694.0,,,list-of-ultras-of-south-america
Mount Elgon,Mount Elgon,/,,4321.0,2458.0,1863.0,,,list-of-ultras-of-africa
Skihist Mountain,,British Columbia,Coast Mountains,2968.0,2458.0,,50.1878,-121.9032,list-of-ultras-of-north-america
Masherbrum,Masherbrum,"Control by ,",,7821.0,2457.0,5364.0,,,list-of-ultras-of-the-karakoram-and-hindu-kush
Mount Hubbard,,Alaska,Saint Elias Mountains,4557.0,2457.0,,60.3194,-139.0726,list-of-ultras-of-north-america
Mount Ida,Mount Ida (Crete),Crete,,2456.0,2456.0,0.0,,,list-of-european-ultra-prominent-peaks
Tristeza,Cerro Tristeza,,,2596.0,2456.0,140.0,,,list-of-ultras-of-south-america
Pico Naiguata,Pico Naiguata,,,2765.0,2455.0,310.0,,,list-of-ultras-of-south-america
Mount Bazarduzu,Mount Bazarduzu,/,Greater Caucasus,4466.0,2454.0,2012.0,,,list-of-european-ultra-prominent-peaks;list-of-ultras-of-west-asia
Illimani,Illimani,,,6438.0,2451.0,3987.0,,,list-of-ultras-of-south-america
Mayon,Mayon,Luzon,,2462.0,2447.0,15.0,,,list-of-ultras-of-the-philippines
Mount Dempo,Mount Dempo,Sumatra,,3159.0,2446.0,713.0,,,list-of-ultras-of-the-malay-archipelago
Bairiga,Bairiga,,,6882.0,2444.0,4438.0,,,list-of-ultras-of-tibet-east-asia-and-neighbouring-areas
Kuh-e Chuk Shakh,Kuh-e Chuk Shakh,,,5467.0,2444.0,3023.0,,,list-of-ultras-of-the-karakoram-and-hindu-kush
Mount Dulang-dulang,Mount Dulang-dulang,Mindanao,,2938.0,2444.0,498.0,,,list-of-ultras-of-the-philippines
Pik Pobeda,"Peak Pobeda, Sakha",,,3003.0,2443.0,560.0,,,list-of-ultras-of-northeast-asia
Annapurna II,Annapurna II,,,7937.0,2437.0,5500.0,,,list-of-ultras-of-the-himalayas
Mount Merbabu,Mount Merbabu,Java,,3145.0,2432.0,713.0,,,list-of-ultras-of-the-malay-archipelago
Kanlaon,Kanlaon,Negros,,2465.0,2430.0,0.0,,,list-of-ultras-of-the-philippines
Mount Ratz,,British Columbia,Coast Mountains,3090.0,2430.0,,57.393,-132.3031,list-of-ultras-of-north-america
Nevado Sajama,Nevado Sajama,,,6542.0,2428.0,4094.0,,,list-of-ultras-of-south-america
