name,qid,prom,elev,lat,lon
Longfellow Peak,Q6673793,2744.0,8904.0,48.7456,-113.939
Bald Mountain,Q19460353,2744.0,9549.0,38.5344,-119.115
Kūh-e Hezār,Q5687603,2741.0,4500.0,29.5125,57.270833
Mount Victoria,Q2666968,2738.0,4038.0,-8.8925,147.533333333
Kronotsky,Q862760,2736.0,3482.0,54.75,160.516666666
Muztagh Ata,Q630579,2735.0,7546.0,38.278333333,75.115833333
Oval Peak,Q20712293,2731.0,,48.287176,-120.425141
Old Speck Mountain,Q7085015,2730.0,4170.0,44.571166666,-70.953666666
Mount Sir Wilfrid Laurier,Q3862022,2728.0,3516.0,52.8014,-119.731
Marcellina Mountain,Q14684943,2728.0,11353.0,38.93,-107.244
Chimney Rock,Q5099405,2727.0,7727.0,47.5089985,-121.2858293
Tambora,Q168714,2722.0,2850.0,-8.245277777,117.992777777
Mount Balbi,Q1298202,2715.0,2715.0,-5.916666666,154.9825
Cerro El Manchao,Q21842113,2714.0,4575.0,-28.2564,-66.0386
Fuyul Sojol,Q25018639,2713.0,3030.0,0.5783,120.2044
Mount Sir Sandford,Q3862020,2707.0,3519.0,51.656666666,-117.8675
Monte Cinto,Q1415428,2706.0,2706.0,42.379722222,8.945833333
Mount Davidson,Q6920372,2704.0,7868.0,39.3082,-119.663
Nevado de Colima,Q427921,2700.0,4339.0,19.5636,-103.608
Mount Kapalatmada,Q6921586,2700.0,2700.0,-3.255833333,126.124166666
Pik Karla Marxa,Q1670220,2693.0,6723.0,37.1625,72.481666666
Mount Vancouver,Q302483,2692.0,4812.0,60.334494444,-139.692363888
Mount Baker,Q594387,2686.0,3286.0,48.7773426,-121.8132008
The Brothers,Q7720362,2682.0,6842.0,47.6537193,-123.140575
Baldy Mountain,Q4850647,2681.0,12445.0,36.63,-105.213
Parkview Mountain,Q7138769,2676.0,12301.0,40.3303,-106.136
Pik Dankova,Q20625014,2675.0,5982.0,41.059438055,77.684178055
Badger Mountain,Q20712131,2674.0,4262.0,47.4417,-120.0578
Smiley Mountain,Q29045247,2668.0,11427.0,43.699722222,-113.810555555
Fan Mountain,Q20714608,2667.0,10312.0,45.298055555,-111.524166666
Porter Peak,Q14705259,2662.0,9272.0,41.6807,-116.1373
Mica Peak (Idaho),Q8527618,2661.0,5241.0,47.6222,-116.988
Avalanche Spire,Q8536879,2655.0,10105.0,62.8064,-151.153
Castle Mountain,Q28056261,2652.0,12617.0,45.098888888,-109.630555555
Peak la Selle,Q1971319,2650.0,2674.0,18.366666666,-71.983333333
Nevado del Huila,Q648551,2650.0,5364.0,2.933333333,-76.033333333
Tronador,Q422835,2642.0,3491.0,-41.160833333,-71.8875
Mount Torbert,Q1666850,2641.0,3434.0,61.4089,-152.414
Pico da Bandeira,Q589546,2641.0,2891.32,-20.435151,-41.7963
Gu Achi Peak,Q5613108,2636.0,4558.0,32.347777777,-111.876111111
Mount Morgan,Q6922255,2628.0,13754.0,37.4053,-118.733
Lanín,Q389121,2624.0,3776.0,-39.637178,-71.50305748
Barbeau Peak,Q807788,2616.0,2616.0,81.914722222,-75.009166666
Mount Minto,Q1950606,2616.0,4165.0,-71.78666333,168.75
Mount Washington,Q6924500,2615.0,1912.0,47.5311964,-123.2459807
Hot Springs Mountain,Q5910462,2613.0,6536.0,33.3152,-116.58
Birds Eye Peak,Q123592526,2608.0,4970.0,61.077222222,-149.3925
Mount Moran,Q1546616,2605.0,3842.0,43.835277777,-110.776388888
Dena,Q3143042,2604.0,4409.0,30.951666666,51.4375
White Cap Mountain,Q7994516,2604.0,3654.0,45.5547,-69.2463
Mount Kirkpatrick,Q1929197,2601.0,4528.0,-84.333333333,166.416666666
Baekdu Mountain,Q107635,2593.0,2744.0,40.94,126.83
Mount Halcon,Q1570683,2586.0,2582.0,13.25,120.98333333
Telaquana Mountain,Q49081762,2585.0,,60.8075,-153.7619
