country,place,pop,year,source
UK,Swansea,245973,2018,eurostat-urb_cpop1
UK,Barnsley,244270,2018,eurostat-urb_cpop1
UK,Trafford,235932,2018,eurostat-urb_cpop1
UK,Oldham,234691,2018,eurostat-urb_cpop1
UK,Aberdeen,228180,2018,eurostat-urb_cpop1
UK,Northampton,225401,2018,eurostat-urb_cpop1
UK,Tameside,224658,2018,eurostat-urb_cpop1
UK,Swindon,221180,2018,eurostat-urb_cpop1
UK,Rochdale,219230,2018,eurostat-urb_cpop1
UK,Portsmouth,214926,2018,eurostat-urb_cpop1
UK,Solihull,214421,2018,eurostat-urb_cpop1
UK,Luton,214384,2018,eurostat-urb_cpop1
UK,Warrington,209626,2018,eurostat-urb_cpop1
UK,York,209028,2018,eurostat-urb_cpop1
UK,North Tyneside,205229,2018,eurostat-urb_cpop1
UK,Gateshead,202464,2018,eurostat-urb_cpop1
UK,Peterborough,199978,2018,eurostat-urb_cpop1
UK,Stockton-on-Tees,196850,2018,eurostat-urb_cpop1
UK,Bournemouth,194554,2018,eurostat-urb_cpop1
UK,Colchester,191311,2018,eurostat-urb_cpop1
UK,Bath and North East Somerset,190392,2018,eurostat-urb_cpop1
UK,Bury,189868,2018,eurostat-urb_cpop1
UK,Basildon,185171,2018,eurostat-urb_cpop1
UK,Southend-on-Sea,182136,2018,eurostat-urb_cpop1
UK,St. Helens,179690,2018,eurostat-urb_cpop1
UK,Renfrewshire (Paisley),177310,2018,eurostat-urb_cpop1
UK,Telford and Wrekin,176784,2018,eurostat-urb_cpop1
UK,Chelmsford,176637,2018,eurostat-urb_cpop1
UK,Basingstoke and Deane,175533,2018,eurostat-urb_cpop1
UK,Thurrock,171460,2018,eurostat-urb_cpop1
UK,Bedford,170768,2018,eurostat-urb_cpop1
UK,Maidstone,168843,2018,eurostat-urb_cpop1
UK,Reading,163139,2018,eurostat-urb_cpop1
UK,Falkirk,160235,2018,eurostat-urb_cpop1
UK,North East Lincolnshire,159824,2018,eurostat-urb_cpop1
UK,Oxford,154455,2018,eurostat-urb_cpop1
UK,Dacorum,153798,2018,eurostat-urb_cpop1
UK,Newport,152394,2018,eurostat-urb_cpop1
UK,Derry & Strabane Local Government District,150588,2018,eurostat-urb_cpop1
UK,South Tyneside,149910,2018,eurostat-urb_cpop1
UK,Slough,148940,2018,eurostat-urb_cpop1
UK,Blackburn with Darwen,148857,2018,eurostat-urb_cpop1
UK,Dundee City,148730,2018,eurostat-urb_cpop1
UK,Guildford,147833,2018,eurostat-urb_cpop1
UK,St Albans,147234,2018,eurostat-urb_cpop1
UK,Preston,141582,2018,eurostat-urb_cpop1
UK,Thanet,141578,2018,eurostat-urb_cpop1
UK,Warwick,141383,2018,eurostat-urb_cpop1
UK,Norwich,140745,2018,eurostat-urb_cpop1
UK,Middlesbrough,140592,2018,eurostat-urb_cpop1
UK,Blackpool,139588,2018,eurostat-urb_cpop1
UK,Ipswich,138006,2018,eurostat-urb_cpop1
UK,Wrexham,135849,2018,eurostat-urb_cpop1
UK,Torbay,135514,2018,eurostat-urb_cpop1
UK,Eastleigh,131159,2018,eurostat-urb_cpop1
UK,Exeter,129672,2018,eurostat-urb_cpop1
UK,Newcastle-under-Lyme,129227,2018,eurostat-urb_cpop1
UK,Gloucester,129184,2018,eurostat-urb_cpop1
UK,Nuneaton and Bedworth,128781,2018,eurostat-urb_cpop1
UK,Ashford,128404,2018,eurostat-urb_cpop1
UK,Halton,128014,2018,eurostat-urb_cpop1
UK,Cambridge,125339,2018,eurostat-urb_cpop1
UK,Bracknell Forest,121027,2018,eurostat-urb_cpop1
UK,East Staffordshire,118063,2018,eurostat-urb_cpop1
UK,Tunbridge Wells,118058,2018,eurostat-urb_cpop1
UK,Cheltenham,117109,2018,eurostat-urb_cpop1
UK,Crawley,112056,2018,eurostat-urb_cpop1
UK,Worthing,109829,2018,eurostat-urb_cpop1
UK,Mansfield,108709,2018,eurostat-urb_cpop1
UK,Carlisle,108331,2018,eurostat-urb_cpop1
UK,Rugby,106772,2018,eurostat-urb_cpop1
UK,Darlington,106457,2018,eurostat-urb_cpop1
UK,Gravesham,106253,2018,eurostat-urb_cpop1
UK,Chesterfield,104604,2018,eurostat-urb_cpop1
UK,Eastbourne,103206,2018,eurostat-urb_cpop1
UK,Worcester,102103,2018,eurostat-urb_cpop1
UK,Woking,101148,2018,eurostat-urb_cpop1
UK,Kettering,100759,2018,eurostat-urb_cpop1
AT,Vienna,2028289,2025,"wikipedia(List_of_cities_and_towns_in_Austria, Statistik Austria 2025)"
AT,Graz,305314,2025,"wikipedia(List_of_cities_and_towns_in_Austria, Statistik Austria 2025)"
AT,Linz,213557,2025,"wikipedia(List_of_cities_and_towns_in_Austria, Statistik Austria 2025)"
AT,Salzburg,157659,2025,"wikipedia(List_of_cities_and_towns_in_Austria, Statistik Austria 2025)"
